year,month,state,rto,maker,fuel_filter,vehicle_category_filter,norms_filter,vehicle_class_filter,vehicle_count,scraped_at,source_url
2026,5,INDIA TOTAL,All Vahan4 Running Office,FORD USA MILITARY BANTAM,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,GENERAL MOTORS INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,GREAVES ELECTRIC MOBILITY LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,HERO MOTOCORP LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,293,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,HINDUSTAN MOTORS LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,HONDA CARS INDIA LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,4383,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,136,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,HYUNDAI MOTOR INDIA LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,43587,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,INDIA YAMAHA MOTOR PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,2,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,ISUZU MOTORS INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,30,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,JAGUAR LAND ROVER INDIA LIMITED,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,378,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,JAGUAR LAND ROVER LIMITED UK,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,JSW MG MOTOR INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,5997,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,KIA INDIA PRIVATE LIMITED,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,24801,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,KIA MOTORS CORPN,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,KINETIC MOTOR COMPANY LIMITED,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,LEXUS MOTORS LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,M/S GENERAL MOTORS LLC,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,MAHINDRA & MAHINDRA LIMITED,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,44711,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,MAHINDRA DEFENCE SYSTEMS LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,MAHINDRA ELECTRIC AUTOMOBILE LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,5992,2026-06-14T09:45:02.904Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
